algorithm_id,instance,run_idx,hv,igd_plus,spacing,spread,n_pareto,n_f1_layers,status
moead_ws,c104_21,8,460210050.999839,341.54155,8.337935,8951.5857,93,4,ok
moead_ws,c104_21,9,318992658.818475,736.888914,2.7505,9376.3377,99,5,ok
moead_ws,c104_21,10,416433941.532892,395.959336,8.943417,9201.4801,97,4,ok
moead_ws,c104_21,11,422593444.814441,366.550256,7.126188,11800.5375,99,5,ok
moead_ws,c104_21,12,407581063.606444,448.713286,9.310214,15476.7484,96,4,ok
moead_ws,c104_21,13,484006789.16542,289.554327,8.292787,9434.5656,91,4,ok
moead_ws,c104_21,14,524925552.630237,220.024294,9.186321,7538.0926,92,5,ok
moead_ws,c104_21,15,404936204.625017,523.930744,8.839163,14812.557,89,4,ok
moead_ws,c104_21,16,424312502.985389,374.766717,8.458965,13187.3884,94,5,ok
moead_ws,c104_21,17,368203833.977272,340.393905,8.656395,17832.9664,78,3,ok
moead_ws,c104_21,18,370335263.124309,451.909731,7.630468,10979.4433,73,4,ok
moead_ws,c104_21,19,412231739.531093,244.390924,8.417309,14330.8826,77,4,ok
moead_ws,c104_21,20,438168295.844865,341.661353,8.734874,11422.9162,94,5,ok
moead_ws,c104_21,21,394284965.958776,442.977892,7.668289,9838.6505,88,3,ok
moead_ws,c104_21,22,411230191.575576,415.47566,9.281358,14318.0924,90,4,ok
moead_ws,c104_21,23,436771082.464875,340.328557,7.657648,14643.0013,94,5,ok
moead_ws,c104_21,24,416765894.380003,372.33686,9.374663,12179.034,95,4,ok
moead_ws,c104_21,25,400240984.795851,393.012009,9.705737,13371.6432,99,5,ok
moead_ws,c104_21,26,410290889.774253,452.332756,0.0,7883.4102,103,3,ok
moead_ws,c104_21,27,374814063.209269,474.706229,3.196215,9937.5453,94,4,ok
moead_ws,c104_21,28,380583304.613207,425.991218,9.4101,26579.1783,91,4,ok
moead_ws,c104_21,29,386132834.388338,424.262037,6.448912,12980.2562,96,6,ok
moead_ws,c104_21,30,413098417.959462,362.282965,8.886405,10064.9066,90,3,ok
nsga2,c104_21,1,524146068.349819,263.847814,0.701023,6673.9477,105,5,ok
nsga2,c104_21,2,557202096.945494,126.899802,0.505961,7362.1203,105,4,ok
nsga2,c104_21,3,536446712.542496,244.419797,0.74979,5194.9004,105,6,ok
nsga2,c104_21,4,465627166.148243,301.364075,0.910958,3705.7406,105,5,ok
nsga2,c104_21,5,574952207.024886,220.286203,0.621377,7392.8896,105,7,ok
nsga2,c104_21,6,530560542.556122,227.91548,1.021129,7093.5966,105,6,ok
nsga2,c104_21,7,524287092.667842,182.738971,2.083352,8769.8535,105,4,ok
nsga2,c104_21,8,552522883.382262,185.907613,0.484823,5152.9081,105,6,ok
nsga2,c104_21,9,576099035.723456,79.262001,1.464823,3067.0904,105,4,ok
nsga2,c104_21,10,564404906.915211,115.049638,1.257952,3841.3246,105,4,ok
nsga2,c104_21,11,559390461.940349,184.706644,0.647022,3819.7276,105,7,ok
nsga2,c104_21,12,523244349.828488,272.203644,0.680263,6260.5733,105,7,ok
nsga2,c104_21,13,472566731.941337,434.581301,0.500329,6830.5658,105,7,ok
nsga2,c104_21,14,508508068.623825,320.926833,0.800023,7892.97,105,5,ok
nsga2,c104_21,15,538220893.78602,248.375057,0.845378,6258.7799,105,6,ok
nsga2,c104_21,16,453665441.769984,396.685416,0.582061,5542.8942,105,6,ok
nsga2,c104_21,17,507939314.89527,180.732138,0.727261,4081.4287,105,4,ok
nsga2,c104_21,18,544222849.499852,194.918812,0.55272,5973.3902,105,4,ok
nsga2,c104_21,19,543417901.650211,188.507335,0.840827,7197.6145,105,4,ok
nsga2,c104_21,20,524328053.617757,266.999198,0.520743,7825.4652,105,6,ok
nsga2,c104_21,21,494540499.436039,354.314535,0.666415,7097.4989,105,6,ok
nsga2,c104_21,22,448148240.327697,409.250558,0.488631,4035.8918,105,6,ok
nsga2,c104_21,23,548493595.216855,186.786376,0.624056,4412.7306,105,6,ok
nsga2,c104_21,24,537884000.106994,224.686875,0.502522,6772.4725,105,6,ok
nsga2,c104_21,25,535392762.673936,188.686995,0.791844,5239.6955,105,6,ok
nsga2,c104_21,26,519541627.19419,258.956184,0.797024,6472.2164,105,7,ok
nsga2,c104_21,27,549538995.86912,179.413042,0.741044,6865.9131,105,6,ok
nsga2,c104_21,28,535876357.552673,365.970855,0.896236,11602.6554,105,8,ok
nsga2,c104_21,29,515456244.107312,263.990206,0.788074,6028.0823,105,6,ok
nsga2,c104_21,30,526151479.938848,264.334965,0.715085,7406.1023,105,5,ok
smsemoa,c104_21,1,581071250.748676,98.493111,1.297388,4125.659,105,5,ok
smsemoa,c104_21,2,537364261.722832,180.244192,1.265956,6924.996,105,5,ok
smsemoa,c104_21,3,581048427.649009,79.432992,0.887549,5177.5403,105,4,ok
smsemoa,c104_21,4,569711590.40512,100.824324,0.823673,5300.4109,105,5,ok
smsemoa,c104_21,5,523193601.211183,144.617462,1.956385,3993.8886,105,5,ok
smsemoa,c104_21,6,568287466.358404,125.568193,1.035135,4882.421,105,5,ok
smsemoa,c104_21,7,560613550.541353,229.262067,1.165036,10025.033,105,8,ok
smsemoa,c104_21,8,544633164.759969,225.804323,0.918412,4073.4779,105,6,ok
smsemoa,c104_21,9,474094178.612951,256.218349,1.470887,3392.2675,103,5,ok
smsemoa,c104_21,10,570592072.444791,104.393999,1.014956,5086.1449,105,4,ok
smsemoa,c104_21,11,616233959.926482,2.329038,1.354614,4073.4917,105,5,ok
smsemoa,c104_21,12,572472158.231739,133.192114,0.872,5509.658,105,6,ok
smsemoa,c104_21,13,562785886.138642,140.829273,1.323927,5382.6207,105,5,ok
smsemoa,c104_21,14,496992273.976959,336.972289,1.557263,9138.1644,105,7,ok
smsemoa,c104_21,15,512733421.826731,280.509579,2.359454,6105.578,105,8,ok
smsemoa,c104_21,16,566025957.095335,160.848215,0.996603,3980.783,105,7,ok
smsemoa,c104_21,17,527249281.474482,260.709437,0.91581,6101.14,105,6,ok
smsemoa,c104_21,18,537679134.100945,200.734756,1.447692,5590.2647,105,6,ok
smsemoa,c104_21,19,532690271.250438,236.205164,0.747676,7883.8648,105,6,ok
smsemoa,c104_21,20,501581715.209015,191.622252,1.051009,4651.8302,100,5,ok
smsemoa,c104_21,21,545246973.230895,173.718664,1.210371,5748.9746,105,6,ok
smsemoa,c104_21,22,550133766.316452,174.451724,0.80397,5236.4848,98,5,ok
smsemoa,c104_21,23,548505253.64664,168.811984,1.277961,4426.0996,105,5,ok
smsemoa,c104_21,24,614481539.954,5.096092,1.441974,4570.0604,105,5,ok
smsemoa,c104_21,25,484983383.08632,285.303111,2.547112,4914.7556,105,6,ok
smsemoa,c104_21,26,604589904.685391,34.834381,0.995394,3093.6808,105,4,ok
smsemoa,c104_21,27,586614073.808704,202.945149,1.152396,11487.505,100,7,ok
smsemoa,c104_21,28,543836503.554867,189.88448,1.884364,5522.7188,105,5,ok
smsemoa,c104_21,29,574142698.036393,92.724514,1.611624,3457.0426,105,4,ok
smsemoa,c104_21,30,529790254.873435,229.763853,1.546341,5424.2647,105,5,ok
moead_ws,c105_21,1,593269352.54749,2596.019596,9.227818,36802.3601,90,6,ok
moead_ws,c105_21,2,748688294.522473,1633.252369,6.738219,16877.9167,103,4,ok
moead_ws,c105_21,3,795743458.141979,847.330533,2.771839,19710.8941,103,6,ok
moead_ws,c105_21,4,710816291.766586,927.432119,7.379657,29669.4179,95,8,ok
moead_ws,c105_21,5,870104898.229597,687.478663,7.923316,23847.6673,98,5,ok
moead_ws,c105_21,6,839069987.297788,1078.410894,3.224308,22779.3894,101,8,ok
moead_ws,c105_21,7,600750813.694913,928.385291,3.137763,27487.8877,100,8,ok
moead_ws,c105_21,8,687815206.090541,1153.780609,7.658479,33558.4204,103,8,ok
moead_ws,c105_21,9,698802820.374784,871.430352,3.673665,21522.5414,105,6,ok
moead_ws,c105_21,10,799936957.827551,908.570784,3.276419,17011.3392,98,7,ok
moead_ws,c105_21,11,724172964.443864,1013.488388,3.527767,21973.6693,100,7,ok
moead_ws,c105_21,12,943169526.780591,1102.336615,3.291353,14963.112,103,5,ok
moead_ws,c105_21,13,960064904.655861,628.537859,4.64999,18447.7758,101,7,ok
moead_ws,c105_21,14,837549496.204169,736.46551,8.571025,29845.5913,105,5,ok
moead_ws,c105_21,15,870740744.076937,632.423061,2.869689,19220.3175,103,7,ok
moead_ws,c105_21,16,769890863.888017,728.377379,2.907523,24272.5539,100,6,ok
moead_ws,c105_21,17,984662975.591448,656.780978,4.68351,22283.4964,90,6,ok
moead_ws,c105_21,18,808641469.428701,733.465231,7.486205,25200.5676,92,7,ok
moead_ws,c105_21,19,774179376.483329,609.878474,5.902923,22798.7327,102,7,ok
moead_ws,c105_21,20,795444890.135035,940.382688,6.805834,25315.6165,91,6,ok
moead_ws,c105_21,21,934887253.301991,453.345387,9.303088,29645.9839,105,7,ok
moead_ws,c105_21,22,894337751.949969,681.237481,2.149376,23271.6399,99,7,ok
moead_ws,c105_21,23,655140501.97614,1035.685709,2.225059,24510.3857,90,6,ok
moead_ws,c105_21,24,752979127.302145,2756.327563,4.870792,19247.6832,92,5,ok
moead_ws,c105_21,25,765778652.026921,1049.45338,7.712595,28889.9532,105,7,ok
moead_ws,c105_21,26,660768732.895545,859.281485,3.899261,28425.156,102,8,ok
moead_ws,c105_21,27,624008124.35996,1320.455983,3.643894,20928.9206,102,7,ok
moead_ws,c105_21,28,658160454.359825,852.549957,2.777126,21681.037,103,5,ok
moead_ws,c105_21,29,680558683.030629,1310.947335,3.447832,24058.0493,104,7,ok
moead_ws,c105_21,30,900330235.053099,738.859609,3.972679,16496.0492,97,4,ok
nsga2,c105_21,1,1134673711.145964,468.762626,0.577301,15775.4743,105,9,ok
nsga2,c105_21,2,1375938011.725326,122.07735,0.771014,18556.1433,105,12,ok
nsga2,c105_21,3,1307883521.42742,310.70752,0.531442,16477.944,105,11,ok
nsga2,c105_21,4,1132870725.326638,401.458809,0.46845,11463.0316,105,7,ok
nsga2,c105_21,5,1210072498.900949,460.347374,0.547562,15741.9976,105,11,ok
nsga2,c105_21,6,1253164347.311057,202.951775,0.661205,9065.5507,105,8,ok
nsga2,c105_21,7,1459316812.440275,224.388478,0.756063,17436.9945,105,12,ok
