config_id,config_label,instance,run_idx,seed,n_neighbors,prob_neighbor_mating,decomposition,pbi_theta,n_evals,effective_evals,n_feasible,n_total,n_unique_obj,n_unique_feasible,n_f1_layers,best_f1,best_f2,best_f3,hv_raw,elapsed_s,timestamp,error
C7,prob=0.5,c101_21,3,1665167062,10,0.5,tchebycheff,,300000,300090,105,105,25,25,1,32.0,3997.8075699157844,3341.3992582484943,0.0,796.524,2026-04-11T04:11:11,
C6,prob=0.7,r201_21,3,2321221701,10,0.7,tchebycheff,,300000,300090,105,105,49,49,1,12.0,2468.9371132823794,1143.9120565635585,0.0,956.29,2026-04-11T04:12:00,
C7,prob=0.5,c208_21,2,3739742524,10,0.5,tchebycheff,,300000,300090,105,105,32,32,1,11.0,3164.841227751231,3871.262601826595,253576501543.451,1140.241,2026-04-11T04:18:06,
C7,prob=0.5,c208_21,1,1668600045,10,0.5,tchebycheff,,300000,300090,105,105,40,40,1,9.0,3024.8757932605613,4705.828055733805,266744906871.754,1243.674,2026-04-11T04:19:27,
C7,prob=0.5,c208_21,3,1554769158,10,0.5,tchebycheff,,300000,300090,105,105,36,36,1,12.0,3328.3532978510975,7633.577302004913,238573629742.41867,1095.402,2026-04-11T04:20:18,
C7,prob=0.5,r106_21,1,2651644929,10,0.5,tchebycheff,,300000,300090,105,105,47,47,4,28.0,2371.307847662962,136.1205871451266,0.0,654.708,2026-04-11T04:20:29,
C7,prob=0.5,r106_21,2,1262377751,10,0.5,tchebycheff,,300000,300090,105,105,35,35,4,27.0,2453.0124212108644,58.96303378603068,0.0,700.723,2026-04-11T04:21:31,
C7,prob=0.5,r106_21,3,2745733338,10,0.5,tchebycheff,,300000,300090,105,105,38,38,3,29.0,2485.284135953916,41.833878518162265,0.0,674.524,2026-04-11T04:21:50,
C7,prob=0.5,c208_21,4,815874603,10,0.5,tchebycheff,,300000,300090,105,105,38,38,1,11.0,3110.3983081592232,2583.953014202427,258054522198.82883,1158.816,2026-04-11T04:22:03,
C7,prob=0.5,r106_21,4,188927139,10,0.5,tchebycheff,,300000,300090,105,105,41,41,3,31.0,2586.962622456084,74.8985327988475,0.0,676.978,2026-04-11T04:22:18,
C7,prob=0.5,r201_21,1,3050207400,10,0.5,tchebycheff,,300000,300090,105,105,33,33,2,13.0,2527.242945481002,274.56067157693053,0.0,824.007,2026-04-11T04:24:55,
C7,prob=0.5,r201_21,2,1176204404,10,0.5,tchebycheff,,300000,300090,105,105,42,42,2,13.0,2536.8413083542446,351.09124487608574,0.0,875.093,2026-04-11T04:26:35,
C7,prob=0.5,r201_21,3,2799207936,10,0.5,tchebycheff,,300000,300090,105,105,33,33,1,14.0,2673.4745473264475,276.3981224041479,0.0,830.326,2026-04-11T04:31:56,
