perm_id,c_f1,c_f2,c_g2,c_n_vehicles,c_total_distance,c_n_recharges,c_n_skipped,c_feasible,a_f1,a_f2,a_g2,a_n_vehicles,a_total_distance,a_n_recharges,a_n_skipped,a_feasible
51,54853.81249113578,0.004864953209080092,0.0,49,5853.812491135778,144,0,1,7005.591399648387,0.8441036845137915,87.79055969415711,2,5005.591399648387,76,0,0
52,50549.05671198322,0.0,0.0,45,5549.056711983218,132,0,1,6627.860094377808,0.8020793374318603,86.91106751521579,2,4627.860094377808,68,0,0
53,57176.89925096789,0.009227147980624406,0.0,51,6176.8992509678865,150,0,1,7278.789814036052,0.7982618871504529,43.076469380521566,2,5278.789814036052,80,0,0
54,54955.148381879546,0.005415799764954654,0.0,49,5955.148381879543,144,0,1,7202.558593873191,0.8575280852366595,67.05122494075046,2,5202.558593873191,80,0,0
55,53961.256159464596,0.009129550877140402,0.0,48,5961.256159464592,141,0,1,7083.490609170347,0.8156494661736245,71.18486717075183,2,5083.490609170347,73,0,0
56,54029.00734652207,0.006897532485760305,0.0,48,6029.007346522073,141,0,1,6984.692255371245,0.8360306842180203,108.94347179847722,2,4984.692255371245,73,0,0
57,60367.453753634356,0.007521390885802393,0.0,54,6367.453753634352,159,0,1,7498.533067516339,0.8278702979216801,82.26949791874188,2,5498.533067516339,80,0,0
58,57260.33610862688,0.0045024521824363894,0.0,51,6260.33610862688,150,0,1,7182.291304766421,0.8254078540363651,63.1391970235898,2,5182.291304766421,80,0,0
59,54862.25171348639,0.0029454742822929703,0.0,49,5862.251713486391,144,0,1,6922.617291766217,0.8806156878968151,77.91246887307761,2,4922.617291766217,75,0,0
60,54128.78475862572,0.0068882851145197765,0.0,48,6128.784758625721,141,0,1,7065.815039304529,0.8073498128855858,85.9186756260051,2,5065.815039304529,76,0,0
61,60222.389674320635,0.00015529453572471486,0.0,54,6222.389674320636,159,0,1,7387.295065640664,0.88,119.8139547431114,2,5387.295065640664,76,0,0
62,52599.04078581753,0.0,0.0,47,5599.040785817531,138,0,1,6870.36352202468,0.8571199076370458,103.9819207825547,2,4870.36352202468,71,0,0
63,53637.82307353391,0.003206403408438474,0.0,48,5637.823073533908,141,0,1,7005.853363337332,0.825783082303719,56.98084492547504,2,5005.853363337332,79,0,0
64,52927.01654295765,0.004929563014098748,0.0,47,5927.016542957649,138,0,1,7062.252450230516,0.8706035806501979,47.16391723924305,2,5062.252450230516,79,0,0
