algorithm_id,instance,run_idx,seed,n_evals_budget,n_evals_actual,n_feasible,n_pareto,hv_quick,igd_plus_quick,best_f1,best_f2,best_f3,n_f1_layers,elapsed_seconds,timestamp_start,timestamp_end,status,pickle_path,git_commit
smsemoa,c109_21,7,3380462473,850000,850080,105,105,17409581.048552,,13.0,1494.7261,172.1764,6,1931.625,2026-04-24T03:37:09,2026-04-24T04:09:21,ok,pickles\smsemoa\c109_21\run07.pkl,ee61198
nsga2,c109_21,25,3498857942,850000,850080,105,105,35887430.415614,,12.0,1579.2865,311.0188,7,1871.769,2026-04-24T03:49:48,2026-04-24T04:21:00,ok,pickles\nsga2\c109_21\run25.pkl,ee61198
smsemoa,c109_21,25,4071678338,850000,850080,105,105,37178308.311487,,12.0,1612.5321,81.1205,6,1974.98,2026-04-24T03:48:13,2026-04-24T04:21:08,ok,pickles\smsemoa\c109_21\run25.pkl,ee61198
nsga2,c208_21,28,293093520,850000,850080,105,105,35235326.265378,,4.0,1010.7593,0.0,4,3120.57,2026-04-24T03:29:48,2026-04-24T04:21:49,ok,pickles\nsga2\c208_21\run28.pkl,ee61198
moead_ws,c208_21,10,3578794121,850000,850080,105,99,61890278.643326,,5.0,1200.7199,7616.2797,3,3634.872,2026-04-24T03:25:26,2026-04-24T04:26:01,ok,pickles\moead_ws\c208_21\run10.pkl,ee61198
moead_ws,c208_21,11,1734828115,850000,850080,105,96,145246574.126054,,6.0,1430.3483,2382.0258,3,3327.222,2026-04-24T03:34:17,2026-04-24T04:29:45,ok,pickles\moead_ws\c208_21\run11.pkl,ee61198
moead_ws,c108_21,10,2446787552,850000,850080,105,92,220061519.481447,,13.0,1810.5557,1114.8536,8,2295.145,2026-04-24T04:05:14,2026-04-24T04:43:30,ok,pickles\moead_ws\c108_21\run10.pkl,ee61198
moead_ws,c109_21,18,3143781069,850000,850080,105,102,254041459.793061,,13.0,1609.6421,282.9397,6,2297.904,2026-04-24T04:05:25,2026-04-24T04:43:43,ok,pickles\moead_ws\c109_21\run18.pkl,ee61198
nsga2,c109_21,14,3298164210,850000,850080,105,105,38807313.74773,,13.0,1751.8029,342.1906,5,1852.785,2026-04-24T04:21:49,2026-04-24T04:52:42,ok,pickles\nsga2\c109_21\run14.pkl,ee61198
moead_ws,c109_21,2,4073838761,850000,850080,105,100,54115832.75005,,14.0,1621.0348,85.7607,3,2244.249,2026-04-24T04:21:02,2026-04-24T04:58:26,ok,pickles\moead_ws\c109_21\run02.pkl,ee61198
nsga2,c208_21,17,4059436825,850000,850080,105,105,32635331.033431,,5.0,1096.6177,0.0,3,3028.539,2026-04-24T04:09:21,2026-04-24T04:59:49,ok,pickles\nsga2\c208_21\run17.pkl,ee61198
smsemoa,c109_21,17,631238249,850000,850080,105,105,25235193.078062,,13.0,1487.271,154.2119,7,1957.592,2026-04-24T04:29:45,2026-04-24T05:02:22,ok,pickles\smsemoa\c109_21\run17.pkl,ee61198
moead_ws,c108_21,9,597441577,850000,850080,105,99,241225114.508845,,13.0,1678.474,2118.2859,8,2243.174,2026-04-24T04:26:02,2026-04-24T05:03:26,ok,pickles\moead_ws\c108_21\run09.pkl,ee61198
nsga2,c109_21,5,1516325434,850000,850080,105,105,69226557.889713,,12.0,1577.0776,81.7148,7,1860.95,2026-04-24T04:43:43,2026-04-24T05:14:44,ok,pickles\nsga2\c109_21\run05.pkl,ee61198
moead_ws,c208_21,13,3947745251,850000,850080,105,99,129388989.246094,,5.0,1182.6937,87.9344,3,3293.973,2026-04-24T04:21:10,2026-04-24T05:16:04,ok,pickles\moead_ws\c208_21\run13.pkl,ee61198
nsga2,c208_21,1,3742214799,850000,850080,105,105,14825033.838629,,4.0,875.964,0.0,3,3262.843,2026-04-24T04:43:30,2026-04-24T05:37:53,ok,pickles\nsga2\c208_21\run01.pkl,ee61198
nsga2,c108_21,29,3545735788,850000,850080,105,105,108180571.334704,,12.0,1556.0351,141.7721,10,1793.147,2026-04-24T05:14:44,2026-04-24T05:44:38,ok,pickles\nsga2\c108_21\run29.pkl,ee61198
moead_ws,c208_21,8,4167608844,850000,850080,105,93,182012807.673432,,6.0,1132.5323,516.6262,3,3143.149,2026-04-24T04:52:43,2026-04-24T05:45:06,ok,pickles\moead_ws\c208_21\run08.pkl,ee61198
nsga2,c109_21,17,1053744053,850000,850080,105,105,12147625.591812,,12.0,1277.633,0.0,5,1810.495,2026-04-24T05:16:04,2026-04-24T05:46:14,ok,pickles\nsga2\c109_21\run17.pkl,ee61198
nsga2,c208_21,19,3216053716,850000,850080,105,105,13828036.045906,,5.0,1048.2037,0.0,3,3014.416,2026-04-24T05:02:22,2026-04-24T05:52:37,ok,pickles\nsga2\c208_21\run19.pkl,ee61198
moead_ws,c208_21,12,3710096852,850000,850080,105,102,108859791.794075,,5.0,1163.5236,2675.037,3,3544.263,2026-04-24T04:58:28,2026-04-24T05:57:32,ok,pickles\moead_ws\c208_21\run12.pkl,ee61198
