algorithm,generation,n_eval,n_feasible,best_f1,best_f2,best_f3,mean_f1_feas,mean_f2_feas,mean_f3_feas,min_cv_pop
MOEA/D,71,7455,105,63.0000,4196.1295,1174.5529,65.3810,4212.2304,1174.5529,0.000000
MOEA/D,72,7560,105,65.0000,4196.1295,1174.5529,65.4286,4212.0524,1174.5529,0.000000
MOEA/D,73,7665,105,65.0000,4196.1295,1174.5529,65.4286,4212.0524,1174.5529,0.000000
MOEA/D,74,7770,105,65.0000,4196.1295,1174.5529,65.3619,4211.1105,1174.5529,0.000000
MOEA/D,75,7875,105,65.0000,4196.1295,1174.5529,65.3619,4210.8768,1174.5529,0.000000
MOEA/D,76,7980,105,64.0000,4188.7272,1174.5529,65.1810,4207.2157,1174.5529,0.000000
MOEA/D,77,8085,105,64.0000,4164.6388,1174.5529,65.0000,4200.3904,1174.5529,0.000000
MOEA/D,78,8190,105,64.0000,4164.6388,1174.5529,64.8857,4194.5355,1174.5529,0.000000
MOEA/D,79,8295,105,64.0000,4164.6388,1174.5529,64.6952,4190.0914,1174.5529,0.000000
MOEA/D,80,8400,105,64.0000,4164.6388,1174.5529,64.6857,4189.1502,1174.5529,0.000000
MOEA/D,81,8505,105,64.0000,4164.6388,1174.5529,64.6095,4187.7990,1174.5529,0.000000
MOEA/D,82,8610,105,64.0000,4164.6388,1174.5529,64.5714,4185.4601,1174.5529,0.000000
MOEA/D,83,8715,105,64.0000,4164.6388,1174.5529,64.5524,4184.5732,1174.5529,0.000000
MOEA/D,84,8820,105,64.0000,4164.6388,1174.5529,64.5714,4184.4345,1174.5529,0.000000
MOEA/D,85,8925,105,64.0000,4158.8821,1174.5529,64.4952,4178.1310,1174.5529,0.000000
MOEA/D,86,9030,105,64.0000,4158.8821,1174.5529,64.4952,4178.1310,1174.5529,0.000000
MOEA/D,87,9135,105,64.0000,4158.8821,1174.5529,64.6190,4176.2414,1174.5529,0.000000
MOEA/D,88,9240,105,64.0000,4158.8821,1174.5529,64.5714,4175.0102,1174.5529,0.000000
MOEA/D,89,9345,105,64.0000,4153.1699,1174.5529,64.3810,4169.2769,1174.5529,0.000000
MOEA/D,90,9450,105,63.0000,4139.0391,1174.5529,64.1333,4163.1341,1174.5529,0.000000
MOEA/D,91,9555,105,63.0000,4139.0391,1174.5529,63.9333,4156.8008,1174.5529,0.000000
MOEA/D,92,9660,105,63.0000,4139.0391,1174.5529,63.9333,4156.8008,1174.5529,0.000000
MOEA/D,93,9765,105,63.0000,4139.0391,1174.5529,63.9333,4156.8008,1174.5529,0.000000
MOEA/D,94,9870,105,63.0000,4139.0391,1174.5529,63.8952,4154.9627,1174.5529,0.000000
MOEA/D,95,9975,105,63.0000,4139.0391,1174.5529,63.7714,4153.6296,1174.5529,0.000000
MOEA/D,96,10080,105,63.0000,4129.1611,1174.5529,63.6190,4147.6218,1174.5529,0.000000
