algorithm,generation,n_eval,n_feasible,best_f1,best_f2,best_f3,mean_f1_feas,mean_f2_feas,mean_f3_feas,min_cv_pop
NSGA-II,105,10439,82,4.0000,425.9551,1162.8058,5.1098,449.6084,1171.5520,0.000000
NSGA-II,106,10539,82,4.0000,425.9551,1162.8058,5.1098,449.6084,1171.5520,0.000000
NSGA-II,107,10639,82,4.0000,425.9551,1162.8058,5.0854,449.3380,1171.6217,0.000000
NSGA-II,108,10739,81,4.0000,425.9551,1162.8058,5.0864,448.9374,1171.5895,0.000000
NSGA-II,109,10839,80,4.0000,425.9551,1162.8058,5.0875,448.7402,1171.6993,0.000000
NSGA-II,110,10939,81,4.0000,425.9551,1162.8058,5.0741,448.4561,1171.1907,0.000000
NSGA-II,111,11039,81,4.0000,425.9551,1162.8058,5.0741,448.4561,1171.1907,0.000000
NSGA-II,112,11139,81,4.0000,425.9551,1162.8058,5.0741,448.2852,1171.2612,0.000000
NSGA-II,113,11239,81,4.0000,425.9551,1162.8058,5.0741,448.2852,1171.2612,0.000000
NSGA-II,114,11339,80,4.0000,425.9551,1162.8058,5.0750,448.1807,1171.2955,0.000000
NSGA-II,115,11439,79,4.0000,425.9551,1162.8058,5.0759,448.0736,1171.3306,0.000000
NSGA-II,116,11539,79,4.0000,425.9551,1162.8058,5.0633,447.8962,1171.4030,0.000000
NSGA-II,117,11639,79,4.0000,425.9551,1162.8058,5.0506,447.7561,1171.6797,0.000000
NSGA-II,118,11739,79,4.0000,425.9551,1162.8058,5.0506,447.7561,1171.6797,0.000000
NSGA-II,119,11839,79,4.0000,425.9551,1162.8058,5.0506,447.7561,1171.6797,0.000000
NSGA-II,120,11939,79,4.0000,425.9551,1162.8058,5.0506,447.6182,1171.9565,0.000000
MOEA/D,1,105,1,7.0000,571.1450,1162.8058,7.0000,571.1450,1162.8058,0.000000
MOEA/D,2,210,57,7.0000,526.2572,1162.8058,8.2632,573.7278,1162.8058,0.000000
MOEA/D,3,315,105,7.0000,502.7224,1162.8058,7.2667,535.9303,1162.8058,0.000000
MOEA/D,4,420,105,5.0000,458.2680,1162.8058,6.0476,502.6193,1163.9688,0.000000
MOEA/D,5,525,105,5.0000,458.2680,1162.8058,5.7429,488.0180,1164.4974,0.000000
MOEA/D,6,630,105,5.0000,458.2680,1162.8058,5.3143,473.0532,1170.1199,0.000000
MOEA/D,7,735,105,5.0000,458.2680,1162.8058,5.1714,471.7982,1170.2521,0.000000
MOEA/D,8,840,105,5.0000,458.2680,1162.8058,5.1429,467.4271,1170.2783,0.000000
MOEA/D,9,945,105,5.0000,458.2680,1165.5810,5.1714,466.5497,1170.3049,0.000000
MOEA/D,10,1050,105,5.0000,458.2680,1165.5810,5.1333,465.5426,1170.3049,0.000000
MOEA/D,11,1155,105,5.0000,458.2680,1165.5810,5.1524,464.6207,1170.3049,0.000000
MOEA/D,12,1260,105,5.0000,458.2680,1165.5810,5.1905,464.6360,1169.3602,0.000000
MOEA/D,13,1365,105,5.0000,458.2680,1165.5810,5.1905,464.6360,1169.3602,0.000000
MOEA/D,14,1470,105,5.0000,458.2680,1165.5810,5.1905,464.6360,1169.3602,0.000000
MOEA/D,15,1575,105,5.0000,458.2680,1165.5810,5.1905,464.5671,1169.3602,0.000000
MOEA/D,16,1680,105,5.0000,458.2680,1165.5810,5.2095,464.4326,1169.3602,0.000000
MOEA/D,17,1785,105,5.0000,458.2680,1165.5810,5.2000,463.1113,1169.3602,0.000000
MOEA/D,18,1890,105,5.0000,458.2680,1165.5810,5.2000,463.1113,1169.3602,0.000000
MOEA/D,19,1995,105,5.0000,458.2680,1165.5810,5.2190,463.2061,1168.8878,0.000000
MOEA/D,20,2100,105,5.0000,458.2680,1165.5810,5.2190,463.2061,1168.8878,0.000000
MOEA/D,21,2205,105,5.0000,458.2680,1165.5810,5.2190,463.2061,1168.8878,0.000000
MOEA/D,22,2310,105,5.0000,458.2680,1165.5810,5.1524,461.9838,1168.1792,0.000000
MOEA/D,23,2415,105,5.0000,458.2680,1162.8058,5.1333,461.1746,1168.0470,0.000000
MOEA/D,24,2520,105,5.0000,458.2680,1162.8058,5.1333,461.1746,1168.0470,0.000000
MOEA/D,25,2625,105,5.0000,458.2680,1162.8058,5.1143,460.6154,1168.5194,0.000000
MOEA/D,26,2730,105,5.0000,458.2680,1162.8058,5.1143,460.6154,1168.5194,0.000000
MOEA/D,27,2835,105,5.0000,458.2680,1162.8058,5.0952,460.4885,1168.4666,0.000000
