task_id,algorithm_id,config_idx,instance,seed,pc,pm,n_neighbors,prob_neighbor_mating,decomposition,ref_dirs_method,pbi_theta,n_evals_budget,n_feasible,n_pareto,hv_local,best_f1,best_f2,best_f3,elapsed_s,status,front_path
314,moead_ws,43,rc101_21,2102908841,0.3019,0.1884,19,0.1106,pbi,das-dennis,8.913,400000,105,102,1631019.0,39.00,3769.66,262.45,799.0,ok,fronts/moead_ws__rc101_21__cfg43.pkl
318,moead_ws,2,rc101_21,2363658243,0.2297,0.00212,3,0.6777,pbi,das-dennis,5.557,400000,105,103,898505.63,43.00,4225.50,1007.81,832.8,ok,fronts/moead_ws__rc101_21__cfg02.pkl
294,moead_ws,40,rc201_21,4156178177,0.7178,0.2271,11,0.1185,weighted-sum,energy,,400000,105,92,60684893.58,8.00,2142.29,311.66,1134.8,ok,fronts/moead_ws__rc201_21__cfg40.pkl
326,nsga2,7,rc101_21,937460017,0.6439,0.10916,,,,,,400000,105,105,59335999.1,21.00,2362.66,1.65,641.4,ok,fronts/nsga2__rc101_21__cfg07.pkl
298,moead_ws,34,r201_21,3106421034,0.7992,0.01656,20,0.5996,weighted-sum,energy,,400000,105,105,14328512.91,8.00,2335.98,4782.00,1474.4,ok,fronts/moead_ws__r201_21__cfg34.pkl
302,moead_ws,28,r201_21,1878411658,0.6329,0.00517,15,0.7349,weighted-sum,das-dennis,,400000,105,105,13864117.06,11.00,2703.77,4579.97,1485.9,ok,fronts/moead_ws__r201_21__cfg28.pkl
322,moead_ws,18,rc201_21,1121936061,0.0435,0.00282,22,0.2367,weighted-sum,das-dennis,,400000,105,105,4258518.37,13.00,3714.90,6828.06,1214.2,ok,fronts/moead_ws__rc201_21__cfg18.pkl
338,smsemoa,32,r101_21,3617985024,0.2302,0.00124,,,,,,400000,105,105,24553669.07,23.00,2098.82,183.22,766.2,ok,fronts/smsemoa__r101_21__cfg32.pkl
342,moead_ws,47,r101_21,1687437875,0.6563,0.00123,3,0.0517,weighted-sum,energy,,400000,105,105,8999452.52,32.00,2665.57,583.57,768.0,ok,fronts/moead_ws__r101_21__cfg47.pkl
330,moead_ws,35,c101_21,3231797099,0.1197,0.00195,19,0.6579,weighted-sum,energy,,400000,105,105,82942376.3,26.00,3250.70,12272.53,942.5,ok,fronts/moead_ws__c101_21__cfg35.pkl
334,moead_ws,12,r101_21,3274384212,0.4539,0.00411,22,0.2367,pbi,energy,8.349,400000,105,105,250880.78,44.00,3620.60,1574.83,916.6,ok,fronts/moead_ws__r101_21__cfg12.pkl
346,moead_ws,15,r101_21,1500564364,0.2847,0.0024,13,0.0211,weighted-sum,energy,,400000,105,105,11872129.66,38.00,2995.19,864.26,766.8,ok,fronts/moead_ws__r101_21__cfg15.pkl
350,moead_ws,19,r101_21,1483140169,0.5712,0.01074,9,0.3736,weighted-sum,energy,,400000,105,104,18739190.01,32.00,2630.37,588.55,786.1,ok,fronts/moead_ws__r101_21__cfg19.pkl
366,nsga2,19,r101_21,3404476562,0.1299,0.01508,,,,,,400000,105,105,17759509.96,23.00,2132.91,187.49,901.1,ok,fronts/nsga2__r101_21__cfg19.pkl
374,moead_ws,17,r101_21,4271696634,0.3936,0.00613,25,0.875,tchebycheff,energy,,400000,105,105,23360523.22,37.00,3025.99,1212.50,813.5,ok,fronts/moead_ws__r101_21__cfg17.pkl
378,moead_ws,14,r101_21,1875837432,0.3103,0.00227,21,0.921,tchebycheff,das-dennis,,400000,105,99,2818322.84,43.00,3341.59,1999.23,831.0,ok,fronts/moead_ws__r101_21__cfg14.pkl
390,nsga2,33,c101_21,3327476916,0.6347,0.02351,,,,,,400000,105,105,125415755.77,15.00,1857.48,1349.52,719.2,ok,fronts/nsga2__c101_21__cfg33.pkl
362,moead_ws,4,rc201_21,999213451,0.739,0.00211,19,0.1238,tchebycheff,energy,,400000,105,103,14468040.49,13.00,3842.54,4622.90,1213.1,ok,fronts/moead_ws__rc201_21__cfg04.pkl
370,moead_ws,8,rc201_21,3858585499,0.596,0.20474,25,0.8044,tchebycheff,das-dennis,,400000,105,99,43995009.4,8.00,1906.11,745.57,1231.9,ok,fronts/moead_ws__rc201_21__cfg08.pkl
354,moead_ws,9,c201_21,2290456975,0.7848,0.00111,18,0.8294,weighted-sum,das-dennis,,400000,105,105,344006800.84,7.00,2581.37,34483.00,1524.8,ok,fronts/moead_ws__c201_21__cfg09.pkl
358,moead_ws,18,r201_21,221330357,0.0435,0.00282,22,0.2367,weighted-sum,das-dennis,,400000,105,92,1431393.04,12.00,3016.32,6292.37,1435.0,ok,fronts/moead_ws__r201_21__cfg18.pkl
382,smsemoa,20,r201_21,1884713714,0.7827,0.0016,,,,,,400000,105,105,62090437.56,6.00,1488.72,170.25,1297.0,ok,fronts/smsemoa__r201_21__cfg20.pkl
402,moead_ws,48,rc101_21,1412332485,0.8015,0.0039,16,0.8494,weighted-sum,das-dennis,,400000,105,101,26931369.63,30.00,3038.05,149.81,782.4,ok,fronts/moead_ws__rc101_21__cfg48.pkl
386,smsemoa,24,r201_21,1536785058,0.3316,0.01949,,,,,,400000,105,105,35927292.73,7.00,1721.68,1391.89,1687.3,ok,fronts/smsemoa__r201_21__cfg24.pkl
406,smsemoa,38,c101_21,3912885052,0.1646,0.00129,,,,,,400000,105,105,53680753.14,15.00,1706.59,931.10,985.7,ok,fronts/smsemoa__c101_21__cfg38.pkl
394,smsemoa,41,c201_21,1685128161,0.8908,0.16337,,,,,,400000,105,105,73822044.66,5.00,1387.15,6527.85,1160.3,ok,fronts/smsemoa__c201_21__cfg41.pkl
414,smsemoa,7,r101_21,1952445277,0.306,0.02721,,,,,,400000,105,105,22190357.61,24.00,2088.77,67.92,734.2,ok,fronts/smsemoa__r101_21__cfg07.pkl
418,moead_ws,4,r101_21,558629615,0.739,0.00211,19,0.1238,tchebycheff,energy,,400000,105,104,4908448.15,40.00,3251.40,856.12,833.6,ok,fronts/moead_ws__r101_21__cfg04.pkl
410,smsemoa,43,rc201_21,2356848804,0.772,0.04355,,,,,,400000,103,103,26127529.66,9.00,2074.38,214.39,1045.6,ok,fronts/smsemoa__rc201_21__cfg43.pkl
